tconst,parentTconst,seasonNumber,episodeNumber,TV-show,primaryTitle_y,startYear,endYear,channel,averageRating,numVotes,episodeID
tt3143986,tt2661044,1,3,The 100,Earth Kills,2014,\N,CW,8.0,3584,3
tt3204812,tt2661044,1,4,The 100,Murphy's Law,2014,\N,CW,7.9,3431,4
tt3231760,tt2661044,1,5,The 100,Twilight's Last Gleaming,2014,\N,CW,8.2,3352,5
tt3281866,tt2661044,1,6,The 100,His Sister's Keeper,2014,\N,CW,8.1,3295,6
tt3361356,tt2661044,1,8,The 100,Day Trip,2014,\N,CW,8.0,3278,8
tt3364956,tt2661044,1,7,The 100,Contents Under Pressure,2014,\N,CW,8.2,3270,7
tt3395540,tt2661044,1,10,The 100,I Am Become Death,2014,\N,CW,8.4,3180,10
tt3403820,tt2661044,1,11,The 100,The Calm,2014,\N,CW,8.1,3091,11
tt3414460,tt2661044,1,9,The 100,Unity Day,2014,\N,CW,8.3,3203,9
tt3460414,tt2661044,1,12,The 100,We Are Grounders: Part 1,2014,\N,CW,8.5,3230,12
tt3546818,tt2661044,1,13,The 100,We Are Grounders: Part 2,2014,\N,CW,9.0,3720,13
tt3721014,tt2661044,2,1,The 100,The 48,2014,\N,CW,8.5,3361,14
